Rank,latitude,longitude,heat_score,vulnerability_score,priority_score,est_temp_drop_C,GEOID
1,35.05393857166484,-106.8643401525638,0.9368991381791707,0.7386735076778239,0.8179637598783627,3.7,35001940602
2,35.06083664653977,-106.78932561150589,0.9338987420009668,0.7386735076778239,0.8167636014070812,3.7,35001940602
3,35.14778067582016,-106.79930649896265,0.9310288615823616,0.7386735076778239,0.815615649239639,3.7,35001940602
4,35.05604525167046,-106.8302884242206,0.9159878048471138,0.7386735076778239,0.8095992265455398,3.7,35001940602
5,35.078812609019245,-106.58380517306409,0.8870277548019543,0.7492623270421992,0.8043684981461012,3.5,35001000501
6,35.07845657431468,-106.80463173511497,0.8856341219752375,0.7386735076778239,0.7974577533967894,3.5,35001940602
7,35.07384345626124,-106.5794296743223,0.8536614626782058,0.7492623270421992,0.7910219812966017,3.4,35001000501
8,35.07038395499862,-106.55659367284377,0.8218925968070816,0.7523129579799317,0.7801448135107917,3.3,35001000907
9,35.10090070412501,-106.56706712284756,0.867905418913751,0.7179150175819577,0.777911178114675,3.5,35001000124
10,35.072300663247916,-106.56575867329268,0.8583430392718336,0.7208625691351334,0.7758547571898136,3.4,35001000908
11,35.05454724243002,-106.57785082714658,0.8202297897995764,0.745996875527756,0.7756900412364841,3.3,35001000906
12,35.072303433160116,-106.56654934644102,0.8483231628010299,0.7208625691351334,0.7718468066014921,3.4,35001000908
13,35.14357836797603,-106.62106813179193,0.9374058601825692,0.6405556144616426,0.7592957127500133,3.7,35001003745
14,35.0705080232269,-106.56282800791497,0.8124166393026123,0.7208625691351334,0.7574841972021249,3.2,35001000908
15,35.09574405644996,-106.5592270602242,0.8148233333332504,0.7179150175819577,0.7566783438824749,3.3,35001000124
16,35.06741000695748,-106.50582072078709,0.7993093969576421,0.7258051983125471,0.7552068777705851,3.2,35001000713
17,35.080839937378904,-106.58204190158884,0.761424392898131,0.7492623270421992,0.7541271533845719,3.0,35001000501
